final_node_in_dim,reservoir_units_max,reservoir_units_mean,spectral_radius_max,spectral_radius_mean,leak_rate_max,leak_rate_mean,nvar_order_max,nvar_outputs_max,num_reservoirs,num_nonnvar_reservoirs,has_nvar,has_rls,has_lms,has_ip,two_stage_readout,sr_subcritical,sr_bin,sr_supercritical,high_order_nvar,nrmse,r2,dataset
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1520554609297964,0.999225773169949,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.152969356569567,0.9992245443347173,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.1548220572580172,0.9992220501807495,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1579112799011675,0.9992178824830182,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1605378572465055,0.9992143301864996,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,0,1,0,1,1,near,0,0,1.1632423327687174,0.9992106641267096,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1672649888211089,0.9992051954176893,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1721413830280851,0.9991985407569657,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1737991230420497,0.999196272173001,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1808108531617985,0.9991866413009081,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.187976329737113,0.999176739992948,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1897761342979933,0.9991742435972131,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1918676136961728,0.9991713378901192,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.1926728993528888,0.9991702177403011,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1946436157092217,0.9991674732887588,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.1948780443669869,0.999167146518053,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2011593057539753,0.9991583671775439,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2036211960087828,0.9991549136289227,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.204801049371539,0.9991532560198769,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2054991204392886,0.9991522745155614,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2068379654896144,0.9991503904771436,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.2183618802929819,0.9991340874213697,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.222243269342384,0.9991285614816504,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.2276507489438655,0.9991208335436238,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.228581569566452,0.9991194998475229,laser
938,934,934.0,1.0644727565140062,1.0644727565140062,0.8581598862094666,0.8581598862094666,4,0,2,1,1,1,1,0,1,0,super,1,1,1.2288534694253668,0.9991191100738764,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.229436489484057,0.9991182740127179,laser
1984,1976,1976.0,0.907967751433864,0.907967751433864,0.8247759033828834,0.8247759033828834,3,0,2,1,1,1,1,0,1,1,near,0,0,1.2295629305579854,0.9991180926416352,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2302725948404818,0.9991170743305756,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.232657989697309,0.9991136471744146,laser
2064,2040,2040.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.2333479573294779,0.9991126546429563,laser
1984,1976,1976.0,0.907967751433864,0.907967751433864,0.8247759033828834,0.8247759033828834,3,0,2,1,1,1,1,0,1,1,near,0,0,1.2370575496910738,0.9991073088039084,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2421316292947442,0.9990999706234529,laser
1426,1419,1419.0,1.113023034048581,1.113023034048581,0.7977999615615947,0.7977999615615947,2,0,2,1,1,1,1,0,1,0,super,1,0,1.2421386080485344,0.9990999605100304,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2448348794150805,0.9990960488941676,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.245281058516195,0.9990954007819094,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2482986332598518,0.9990910114064427,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2534823370288244,0.9990834463721098,laser
